127.0.0.1, 2018-10-14 12:21:17, GET, /admin/default/design/start, HTTP/1.1, 200, 0.125000
127.0.0.1, 2018-10-14 12:21:17, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:17, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:17, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:17, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:21:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:21:36, GET, /start/appadmin/index, HTTP/1.1, 200, 0.092000
127.0.0.1, 2018-10-14 12:21:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:21:36, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.077000
127.0.0.1, 2018-10-14 12:21:38, GET, /start/appadmin/select/db, HTTP/1.1, 200, 0.083000
127.0.0.1, 2018-10-14 12:21:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:21:49, GET, /start/appadmin/download/db/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.063000
127.0.0.1, 2018-10-14 12:23:54, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:23:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:24:49, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:24:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:26:40, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-10-14 12:26:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.098000
127.0.0.1, 2018-10-14 12:26:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-14 12:26:48, GET, /start/default/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-10-14 12:26:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:28:29, GET, /start/default/index, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-10-14 12:28:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:30:58, GET, /start/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-10-14 12:30:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:32:50, GET, /start/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-10-14 12:32:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:33:38, GET, /start/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-10-14 12:33:38, GET, /start/default/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 404, 0.055000
127.0.0.1, 2018-10-14 12:33:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:34:14, GET, /start/default/index, HTTP/1.1, 500, 0.121000
127.0.0.1, 2018-10-14 12:34:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:34:20, GET, /start/default/index, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-10-14 12:34:20, GET, /start/default/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 404, 0.058000
127.0.0.1, 2018-10-14 12:34:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:40:11, GET, /start/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-10-14 12:40:11, GET, /start/default/download/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-10-14 12:40:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:40:47, GET, /start/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-10-14 12:40:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:40:48, GET, /start/default/index, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-10-14 12:40:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:44:02, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:44:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:45:33, GET, /start/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-10-14 12:45:33, GET, /start/default/download/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-10-14 12:45:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:45:35, GET, /start/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-10-14 12:45:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:46:33, GET, /start/default/index, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-10-14 12:46:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:46:34, GET, /start/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-10-14 12:46:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:46:45, GET, /start/default/index, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-10-14 12:46:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:46:46, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:46:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:47:16, GET, /start/default/index, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-10-14 12:47:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:47:16, GET, /start/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-10-14 12:47:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:48:07, GET, /start/default/index, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-10-14 12:48:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:48:07, GET, /start/default/index, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-10-14 12:48:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:48:41, GET, /start/default/index, HTTP/1.1, 500, 0.092000
127.0.0.1, 2018-10-14 12:48:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:48:42, GET, /start/default/index, HTTP/1.1, 500, 0.082000
127.0.0.1, 2018-10-14 12:48:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:49:35, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:49:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:51:05, GET, /start/default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-10-14 12:51:05, GET, /start/default/download/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-10-14 12:51:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:51:07, GET, /start/default/add, HTTP/1.1, 404, 0.049000
127.0.0.1, 2018-10-14 12:51:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:51:22, GET, /start/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-10-14 12:51:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001000

127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:51:24, GET, /start/default/download/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-10-14 12:51:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:51:25, GET, /start/default/insert, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-10-14 12:51:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:52:36, POST, /start/default/insert, HTTP/1.1, 303, 0.095000
127.0.0.1, 2018-10-14 12:52:36, GET, /start/default/index, HTTP/1.1, 200, 0.092000
127.0.0.1, 2018-10-14 12:52:36, GET, /start/default/download/movies.image.b81139cbcdeec395.7a6f72726f2e6a7067.jpg, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:52:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:55:21, GET, /start/default/index, HTTP/1.1, 200, 0.061000
